timestamp,model_name,experiment_type,accuracy,precision,recall,f1_score,loss
2026-02-02 06:24:02,ViT-B16,Preprocessed,0.5985,0.597,0.5985,0.5975,1.9326
2026-02-02 08:46:04,ViT-B16,Raw,0.7242,0.7218,0.7242,0.7219,1.1055
2026-02-02 15:34:15,ViT-B16,Preprocessed_on_Raw,0.6492,0.6464,0.6492,0.6468,1.7289
