timestamp,model_name,experiment_type,accuracy,precision,recall,f1,loss,additional_info
2026-02-02 07:12:27,MobileNetV3-Large,Preprocessed,0.6398,0.6518,0.6323,0.6419,1.2183,N/A
2026-02-02 07:13:01,MobileNetV3-Large,Preprocessed_on_Raw,0.7111,0.7143,0.7036,0.7089,1.1396,N/A
2026-02-02 07:27:34,MobileNetV3-Large,Raw,0.7242,0.7273,0.7205,0.7238,1.0418,N/A
